"Suno Prompts"
"Narrated Spoken Word Without Music: Create a minimalist, ambient underscore suitable for theological narration. The music should breathe beneath the spoken word like parchment beneath ink—subtle, unobtrusive, and reverent. Let it sustain the gravity of the words, never overtaking them, but enriching the atmosphere with restrained harmonic movement and sacred stillness."
"Solo acoustic guitar loop in a traditional country style at 100 BPM. Fingerpicked pattern with a warm, twangy tone. Emphasis on open chords like G, C, D, and Em. Includes subtle hammer-ons and slides for expressive phrasing. Natural reverb and a slightly roomy, intimate recording feel. Ideal for storytelling and heartfelt lyrics in a country ballad."
"Solo acoustic guitar loop in a rugged, outlaw country style at 100 BPM. Raw strumming with a driving, percussive feel. Use of palm muting, occasional string slaps, and open-position chords like E, A, and D with bluesy embellishments. Slightly detuned or worn-in guitar tone with a dry, close-mic’d recording. Evokes dusty highways, backporch grit, and southern attitude."
"Electric guitar loop in a modern progressive metalcore style at 120 BPM. Tight, djent-inspired rhythm riff with syncopated chugs, polymetric accents, and palm-muted low-string riffs in drop tuning (e.g., Drop C or Drop A). Includes ambient high-end textures with reverb-drenched harmonics or layered clean arpeggios. Heavy tone with precise gain, tight low-end, and percussive attack. Ideal for a breakdown or intense build-up in a cinematic metalcore track."
"Drum loop in a deep fusion house style at 120 BPM. Smooth and groovy 4-on-the-floor kick with tight, jazzy hi-hats, subtle ghost snares, and syncopated percussion. Warm analog-style drum processing with light swing for a laid-back but danceable feel. Includes rim clicks, congas, or brushed snares for organic depth. Ideal for soulful, lounge-inspired deep house with a fusion edge."
"A fast, glitchy fusion of noise, drum and bass, and shoegaze, driven by synth, sub-bass, sampler, and Ondes Martenot. Texture is gritty, percussive, dreamy, and pulsating. Tempo ramps from Andante to Prestissimo in G Ionian with modal shifts to F# Phrygian and B Locrian."
"Glitchy noise DnB with shoegaze haze, gritty synths, sub-bass, and Ondes Martenot. Pulsating, percussive, dreamy. Prestissimo tempo in G Ionian with modal shifts."
"Explosive noise x drum and bass hybrid with shoegaze overtones and glitch textures. Features gritty synths, sub-bass, sampler, and the eerie Ondes Martenot, layered with percussive, pulsating, and dreamy elements. Pushes into Prestissimo tempo, anchored in G Ionian, shifting through F# Phrygian and B Locrian.
"slow indie rock, Mezzo-Soprano (female), oud, harp, biblically inspired lyrics book of Jude chapter 1, Andante 96 bpm, B Dorian"
"Hardstyle, cryptic lyricism (Female), violin, french horn, vihuela, Adagio 70 bpm, C Lydian"
"Club/Dance, Contralto (female), horn, oboe, biblically inspired lyrics book of Leviticus chapter 13, Largo 50 bpm, Eb Ionian"
"IDM (Intelligent Dance Music), Khoomei (male), electric guitar, saxophone, drums, Larghetto 61 bpm, C Locrian"
"Classical, structured forms, sonata, symphony, homophony., Tenor (male), djembe, Brass, biblically inspired lyrics book of Proverbs chapter 1, Larghetto 62 bpm, Ab Ionian"
"Breakcore Drum n Bass, Tenor (male), Strings, conga, Sampler, Andante 96 bpm, G# Locrian"
"Freestyle Electro, Bass (male), cowbell, accordion, biblically inspired lyrics book of Jeremiah chapter 42, Prestissimo 341 bpm, G Locrian"
"slow folk ballad, Borbangnadyr (male), Sampler, acoustic guitar, harp, Presto 183 bpm, F# Dorian"
